[Mon Oct 10 03:34:55.787805 2022] [php:error] [pid 104142] [client 192.168.2.143:64223] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /srv/users/vnzbtinb/mghmebk-m1/storage/framework/views/16e76f9ff99d33127bcbe721185e55c14433943a.php on line 27
[Fri Dec 02 22:46:19.632304 2022] [mpm_itk:warn] [pid 80227] (13)Permission denied: [client 192.168.2.117:49587] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/public/page, closing connection., referer: http://mghmebk-m1.wsr.ru/public/
[Fri Dec 02 22:46:19.637413 2022] [mpm_itk:warn] [pid 80051] (13)Permission denied: [client 192.168.2.117:49546] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/public/page, closing connection., referer: http://mghmebk-m1.wsr.ru/public/
[Fri Dec 02 22:46:19.638800 2022] [mpm_itk:warn] [pid 80209] (13)Permission denied: [client 192.168.2.117:49581] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/public/page, closing connection., referer: http://mghmebk-m1.wsr.ru/public/
[Fri Dec 02 22:46:19.640350 2022] [mpm_itk:warn] [pid 80239] (13)Permission denied: [client 192.168.2.117:49593] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/public/page, closing connection., referer: http://mghmebk-m1.wsr.ru/public/
[Fri Dec 02 22:46:19.643557 2022] [mpm_itk:warn] [pid 80240] (13)Permission denied: [client 192.168.2.117:49592] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/public/page, closing connection., referer: http://mghmebk-m1.wsr.ru/public/
[Fri Dec 02 22:46:19.646033 2022] [mpm_itk:warn] [pid 80241] (13)Permission denied: [client 192.168.2.117:49591] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/public/page, closing connection., referer: http://mghmebk-m1.wsr.ru/public/
[Sat Dec 03 00:40:11.630504 2022] [mpm_itk:warn] [pid 52549] (13)Permission denied: [client 192.168.2.117:51148] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Sat Dec 03 00:53:33.142168 2022] [mpm_itk:warn] [pid 89868] (13)Permission denied: [client 192.168.2.117:51428] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/public/img/news.png, closing connection., referer: http://mghmebk-m1.wsr.ru/public/page
[Sat Dec 03 00:53:33.145614 2022] [mpm_itk:warn] [pid 89889] (13)Permission denied: [client 192.168.2.117:51430] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/public/img/news.png, closing connection., referer: http://mghmebk-m1.wsr.ru/public/page
[Sat Dec 03 02:47:44.115681 2022] [mpm_itk:warn] [pid 76662] (13)Permission denied: [client 192.168.2.117:55170] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Sat Dec 03 03:15:42.278869 2022] [mpm_itk:warn] [pid 115580] (13)Permission denied: [client 192.168.2.117:56120] Couldn't read /srv/users/vnzbtinb/mghmebk-m1/public/page, closing connection., referer: http://mghmebk-m1.wsr.ru/public/map
